r_mult,pts,exit_reason,sl_pts,entry_px,exit_px,timestamp,date,session,pred_class,regime,direction,confidence,atr_entry,pnl_usd,win,year,month
0.0,0.0,BE,6.0,21264.0,21264.0,2024-08-26 10:35:00,2024-08-26,LON,3,SHORT_REV,SHORT,0.9863070845603943,5.767857142857143,0.0,0,2024,2024-08
1.7157738095235497,10.294642857141298,TRAIL,6.0,21261.25,21250.95535714286,2024-08-26 10:37:00,2024-08-26,LON,3,SHORT_REV,SHORT,0.9913124442100525,5.910714285714286,205.89285714282596,1,2024,2024-08
-1.0,-6.0,SL,6.0,21265.75,21259.75,2024-08-26 10:58:00,2024-08-26,LON,2,LONG_BREAK,LONG,0.9796944260597229,4.625,-120.0,0,2024,2024-08
0.0,0.0,BE,6.0,21262.5,21262.5,2024-08-26 10:59:00,2024-08-26,LON,3,SHORT_REV,SHORT,0.9952061772346497,4.482142857142857,0.0,0,2024,2024-08
-0.9999999999999756,-8.514285714285506,SL,8.514285714285714,20917.0,20925.514285714286,2024-08-27 16:05:00,2024-08-27,NY,1,SHORT_BREAK,SHORT,0.9913984537124634,10.642857142857142,-170.28571428571013,0,2024,2024-08
-0.9999999999998471,-8.842857142855792,SL,8.842857142857143,20927.25,20918.407142857144,2024-08-27 16:06:00,2024-08-27,NY,4,LONG_REV,LONG,0.9761660695075989,11.053571428571429,-176.85714285711583,0,2024,2024-08
-0.9999999999999665,-9.27142857142826,SL,9.27142857142857,20913.5,20922.77142857143,2024-08-27 16:07:00,2024-08-27,NY,1,SHORT_BREAK,SHORT,0.9960899949073792,11.589285714285714,-185.4285714285652,0,2024,2024-08
0.0,0.0,BE,9.842857142857143,20925.25,20925.25,2024-08-27 16:08:00,2024-08-27,NY,4,LONG_REV,LONG,0.9646809697151184,12.303571428571429,0.0,0,2024,2024-08
1.4162517780938313,14.223214285713766,TRAIL,10.042857142857144,20931.0,20945.223214285714,2024-08-27 16:09:00,2024-08-27,NY,4,LONG_REV,LONG,0.9926958084106445,12.553571428571429,284.4642857142753,1,2024,2024-08
0.0,0.0,BE,9.714285714285715,20933.5,20933.5,2024-08-27 16:10:00,2024-08-27,NY,4,LONG_REV,LONG,0.9908596873283386,12.142857142857142,0.0,0,2024,2024-08
