date,session,direction,entry_ts,entry_px,proba,atr,exit_px,pts,r_mult,reason,mae,mfe,risk,bars_held,pnl_usd
2021-05-04,LON,SHORT,2021-05-04 08:00:00,16594.25,0.789,1.07,16602.25,-8.0,-1.0,SL_INITIAL,10.75,3.0,8.0,41,-160.0
2021-05-04,NY,SHORT,2021-05-04 14:41:00,16537.0,0.7917,7.68,16509.68,27.32,3.415,TRAIL_3.4R,0.5,35.0,8.0,1,546.4
2021-05-05,NY,SHORT,2021-05-05 16:34:00,16498.5,0.7933,8.64,16498.5,0.0,0.0,BE,6.5,4.5,8.0,1,0.0
2021-05-06,LON,SHORT,2021-05-06 08:00:00,16325.5,0.7893,2.23,16333.5,-8.0,-1.0,SL_INITIAL,13.0,0.25,8.0,3,-160.0
2021-05-06,NY,SHORT,2021-05-06 14:00:00,16362.0,0.7917,5.91,16362.0,0.0,0.0,BE,10.25,4.75,8.0,1,0.0
2021-05-07,LON,LONG,2021-05-07 08:00:00,16494.5,0.7878,1.54,16486.5,-8.0,-1.0,SL_INITIAL,8.75,0.0,8.0,5,-160.0
2021-05-07,NY,LONG,2021-05-07 14:00:00,16492.25,0.7922,2.71,16484.25,-8.0,-1.0,SL_INITIAL,8.5,2.0,8.0,13,-160.0
2021-05-10,LON,LONG,2021-05-10 08:00:00,16574.0,0.7894,2.79,16566.0,-8.0,-1.0,SL_INITIAL,8.75,0.0,8.0,8,-160.0
2021-05-10,NY,SHORT,2021-05-10 14:22:00,16517.25,0.7915,4.27,16502.15,15.1,1.887,WIN_SMALL,4.0,21.5,8.0,13,302.0
2021-05-11,LON,SHORT,2021-05-11 08:00:00,16067.25,0.7893,5.0,16075.25,-8.0,-1.0,SL_INITIAL,9.5,0.0,8.0,5,-160.0
2021-05-11,NY,LONG,2021-05-11 14:21:00,16022.0,0.7907,5.57,16014.0,-8.0,-1.0,SL_INITIAL,9.25,2.75,8.0,5,-160.0
2021-05-12,LON,SHORT,2021-05-12 09:23:00,16141.0,0.7911,6.61,16141.0,0.0,0.0,BE,0.75,4.25,8.0,1,0.0
2021-05-12,NY,SHORT,2021-05-12 14:00:00,16110.5,0.7917,8.59,16110.5,0.0,0.0,BE,3.75,7.5,8.0,1,0.0
2021-05-13,LON,SHORT,2021-05-13 08:00:00,15907.75,0.7893,3.16,15907.75,0.0,0.0,BE,5.0,4.75,8.0,9,0.0
2021-05-13,NY,LONG,2021-05-13 14:00:00,15815.75,0.792,7.46,15815.75,0.0,0.0,BE,5.25,5.75,8.0,1,0.0
2021-05-14,LON,LONG,2021-05-14 08:00:00,16027.25,0.7876,2.23,16027.25,0.0,0.0,BE,2.25,6.5,8.0,9,0.0
2021-05-14,NY,SHORT,2021-05-14 15:35:00,16073.0,0.7932,9.36,16073.0,0.0,0.0,BE,5.0,8.75,8.0,1,0.0
2021-05-17,LON,LONG,2021-05-17 08:00:00,16217.75,0.7893,3.34,16217.75,0.0,0.0,BE,7.25,4.25,8.0,3,0.0
2021-05-17,NY,LONG,2021-05-17 14:08:00,16192.5,0.7907,4.86,16192.5,0.0,0.0,BE,0.75,5.5,8.0,1,0.0
2021-05-18,LON,LONG,2021-05-18 08:00:00,16201.25,0.7876,1.46,16201.25,0.0,0.0,BE,7.25,4.0,8.0,11,0.0
2021-05-18,NY,SHORT,2021-05-18 14:01:00,16241.5,0.7917,2.98,16226.47,15.03,1.878,WIN_SMALL,6.75,19.5,8.0,25,300.59999999999997
2021-05-19,LON,SHORT,2021-05-19 08:00:00,15993.0,0.7897,4.91,15993.0,0.0,0.0,BE,4.5,6.0,8.0,12,0.0
2021-05-19,NY,LONG,2021-05-19 16:14:00,15812.25,0.7907,9.09,15812.25,0.0,0.0,BE,2.0,9.75,8.0,1,0.0
2021-05-20,LON,LONG,2021-05-20 08:00:00,16083.0,0.7876,2.3,16075.0,-8.0,-1.0,SL_INITIAL,9.25,1.25,8.0,6,-160.0
2021-05-20,NY,SHORT,2021-05-20 14:00:00,16046.75,0.7915,3.95,16054.75,-8.0,-1.0,SL_INITIAL,12.5,2.25,8.0,2,-160.0
2021-05-21,LON,LONG,2021-05-21 08:00:00,16365.25,0.7878,2.48,16365.25,0.0,0.0,BE,0.25,4.0,8.0,1,0.0
2021-05-21,NY,SHORT,2021-05-21 14:00:00,16363.0,0.7917,2.41,16371.0,-8.0,-1.0,SL_INITIAL,8.0,0.0,8.0,5,-160.0
2021-05-24,LON,SHORT,2021-05-24 08:00:00,16262.75,0.7893,2.59,16270.75,-8.0,-1.0,SL_INITIAL,11.5,3.5,8.0,5,-160.0
2021-05-25,LON,LONG,2021-05-25 08:00:00,16521.75,0.7805,1.25,16521.75,0.0,0.0,BE,1.0,6.0,8.0,2,0.0
2021-05-25,NY,SHORT,2021-05-25 14:01:00,16535.0,0.7917,3.0,16535.0,0.0,0.0,BE,0.5,7.5,8.0,1,0.0
2021-05-26,LON,LONG,2021-05-26 08:00:00,16558.0,0.7878,1.09,16558.0,0.0,0.0,BE,1.25,12.25,8.0,62,0.0
2021-05-26,NY,SHORT,2021-05-26 14:24:00,16571.75,0.7912,4.05,16579.75,-8.0,-1.0,SL_INITIAL,8.5,1.0,8.0,2,-160.0
2021-05-27,LON,LONG,2021-05-27 09:49:00,16503.25,0.7923,4.41,16503.25,0.0,0.0,BE,7.75,7.0,8.0,14,0.0
2021-05-27,NY,LONG,2021-05-27 14:00:00,16498.25,0.7922,2.62,16498.25,0.0,0.0,BE,0.75,10.75,8.0,30,0.0
2021-05-28,LON,LONG,2021-05-28 08:00:00,16547.5,0.7878,1.12,16547.5,0.0,0.0,BE,0.75,6.25,8.0,13,0.0
2021-05-28,NY,SHORT,2021-05-28 14:09:00,16572.25,0.7913,2.09,16555.88,16.37,2.046,TRAIL_2.0R,1.5,19.5,8.0,61,327.40000000000003
2021-05-31,LON,SHORT,2021-05-31 08:00:00,16546.5,0.7897,1.12,16554.5,-8.0,-1.0,SL_INITIAL,8.25,0.75,8.0,7,-160.0
2021-05-31,NY,SHORT,2021-05-31 14:00:00,16530.5,0.7915,1.54,16530.5,0.0,0.0,BE,1.25,15.25,8.0,95,0.0
2021-06-01,LON,LONG,2021-06-01 08:00:00,16546.0,0.7893,2.11,16546.0,0.0,0.0,BE,3.25,4.25,8.0,34,0.0
2021-06-01,NY,SHORT,2021-06-01 16:42:00,16616.0,0.7932,9.66,16616.0,0.0,0.0,BE,2.75,5.5,8.0,1,0.0
2021-06-02,LON,SHORT,2021-06-02 08:00:00,16492.75,0.7893,1.18,16500.75,-8.0,-1.0,SL_INITIAL,8.5,2.75,8.0,8,-160.0
2021-06-02,NY,SHORT,2021-06-02 15:21:00,16506.5,0.7933,2.68,16514.5,-8.0,-1.0,SL_INITIAL,9.25,0.0,8.0,6,-160.0
2021-06-03,LON,SHORT,2021-06-03 08:00:00,16537.25,0.7878,0.95,16545.25,-8.0,-1.0,SL_INITIAL,8.0,2.25,8.0,15,-160.0
2021-06-03,NY,SHORT,2021-06-03 14:00:00,16429.75,0.7917,6.89,16407.77,21.98,2.747,TRAIL_2.7R,3.25,30.25,8.0,4,439.6
2021-06-04,LON,LONG,2021-06-04 08:00:00,16373.5,0.7878,1.25,16365.5,-8.0,-1.0,SL_INITIAL,11.75,0.75,8.0,6,-160.0
2021-06-04,NY,LONG,2021-06-04 15:38:00,16386.75,0.7932,17.96,16386.75,0.0,0.0,BE,0.75,18.0,11.68,1,0.0
2021-06-07,LON,LONG,2021-06-07 08:00:00,16596.0,0.789,1.32,16596.0,0.0,0.0,BE,3.0,4.0,8.0,7,0.0
2021-06-07,NY,LONG,2021-06-07 14:01:00,16571.5,0.7922,3.23,16583.9,12.4,1.55,WIN_SMALL,0.5,17.25,8.0,5,248.0
2021-06-08,LON,SHORT,2021-06-08 08:00:00,16689.5,0.7878,1.68,16676.02,13.48,1.685,WIN_SMALL,2.0,16.0,8.0,32,269.6
2021-06-08,NY,LONG,2021-06-08 14:00:00,16695.25,0.7922,4.14,16709.29,14.04,1.754,WIN_SMALL,7.25,20.25,8.0,15,280.79999999999995
2021-06-09,LON,SHORT,2021-06-09 08:00:00,16668.5,0.7878,1.34,16668.5,0.0,0.0,BE,0.5,5.0,8.0,9,0.0
